 Instance, best_cmax
" ""1011.txt"" ",1769
" ""1012.txt"" ",1763
" ""1013.txt"" ",1788
" ""1014.txt"" ",1769
" ""1015.txt"" ",1821
" ""1016.txt"" ",1771
" ""1017.txt"" ",1816
" ""1018.txt"" ",1783
" ""1019.txt"" ",1749
" ""1020.txt"" ",1752
" ""1021.txt"" ",710
" ""1022.txt"" ",705
" ""1023.txt"" ",704
" ""1024.txt"" ",701
" ""1025.txt"" ",695
" ""1026.txt"" ",695
" ""1027.txt"" ",703
" ""1028.txt"" ",699
" ""1029.txt"" ",700
" ""1030.txt"" ",710
" ""1031.txt"" ",431
" ""1032.txt"" ",424
" ""1033.txt"" ",425
" ""1034.txt"" ",427
" ""1035.txt"" ",424
" ""1036.txt"" ",431
" ""1037.txt"" ",428
" ""1038.txt"" ",427
" ""1039.txt"" ",424
" ""1040.txt"" ",426
" ""1041.txt"" ",303
" ""1042.txt"" ",301
" ""1043.txt"" ",300
" ""1044.txt"" ",302
" ""1045.txt"" ",306
" ""1046.txt"" ",305
" ""1047.txt"" ",301
" ""1048.txt"" ",299
" ""1049.txt"" ",301
" ""1050.txt"" ",307
" ""1051.txt"" ",233
" ""1052.txt"" ",233
" ""1053.txt"" ",233
" ""1054.txt"" ",236
" ""1055.txt"" ",234
" ""1056.txt"" ",235
" ""1057.txt"" ",236
" ""1058.txt"" ",235
" ""1059.txt"" ",234
" ""1060.txt"" ",232
" ""111.txt"" ",200
" ""112.txt"" ",173
" ""113.txt"" ",183
" ""114.txt"" ",174
" ""115.txt"" ",182
" ""116.txt"" ",178
" ""117.txt"" ",175
" ""118.txt"" ",180
" ""119.txt"" ",172
" ""120.txt"" ",177
" ""121.txt"" ",72
" ""122.txt"" ",75
" ""123.txt"" ",75
" ""124.txt"" ",75
" ""125.txt"" ",72
" ""126.txt"" ",80
" ""127.txt"" ",74
" ""128.txt"" ",76
" ""129.txt"" ",75
" ""130.txt"" ",81
" ""131.txt"" ",48
" ""132.txt"" ",48
" ""133.txt"" ",48
" ""134.txt"" ",49
" ""135.txt"" ",46
" ""136.txt"" ",50
" ""137.txt"" ",47
" ""138.txt"" ",47
" ""139.txt"" ",48
" ""140.txt"" ",49
" ""141.txt"" ",35
" ""142.txt"" ",36
" ""143.txt"" ",35
" ""144.txt"" ",36
" ""145.txt"" ",36
" ""146.txt"" ",37
" ""147.txt"" ",35
" ""148.txt"" ",35
" ""149.txt"" ",35
" ""150.txt"" ",36
" ""151.txt"" ",28
" ""152.txt"" ",28
" ""153.txt"" ",28
" ""154.txt"" ",30
" ""155.txt"" ",30
" ""156.txt"" ",30
" ""157.txt"" ",30
" ""158.txt"" ",30
" ""159.txt"" ",31
" ""160.txt"" ",29
" ""211.txt"" ",359
" ""212.txt"" ",370
" ""213.txt"" ",362
" ""214.txt"" ",372
" ""215.txt"" ",364
" ""216.txt"" ",377
" ""217.txt"" ",357
" ""218.txt"" ",360
" ""219.txt"" ",363
" ""220.txt"" ",351
" ""221.txt"" ",148
" ""222.txt"" ",146
" ""223.txt"" ",148
" ""224.txt"" ",149
" ""225.txt"" ",150
" ""226.txt"" ",145
" ""227.txt"" ",145
" ""228.txt"" ",142
" ""229.txt"" ",149
" ""230.txt"" ",149
" ""231.txt"" ",90
" ""232.txt"" ",90
" ""233.txt"" ",89
" ""234.txt"" ",92
" ""235.txt"" ",92
" ""236.txt"" ",89
" ""237.txt"" ",88
" ""238.txt"" ",89
" ""239.txt"" ",91
" ""240.txt"" ",90
" ""241.txt"" ",67
" ""242.txt"" ",65
" ""243.txt"" ",65
" ""244.txt"" ",65
" ""245.txt"" ",65
" ""246.txt"" ",67
" ""247.txt"" ",66
" ""248.txt"" ",67
" ""249.txt"" ",67
" ""250.txt"" ",64
" ""251.txt"" ",52
" ""252.txt"" ",52
" ""253.txt"" ",52
" ""254.txt"" ",51
" ""255.txt"" ",51
" ""256.txt"" ",51
" ""257.txt"" ",52
" ""258.txt"" ",51
" ""259.txt"" ",52
" ""260.txt"" ",51
" ""511.txt"" ",866
" ""512.txt"" ",879
" ""513.txt"" ",881
" ""514.txt"" ",887
" ""515.txt"" ",868
" ""516.txt"" ",902
" ""517.txt"" ",896
" ""518.txt"" ",924
" ""519.txt"" ",918
" ""520.txt"" ",897
" ""521.txt"" ",357
" ""522.txt"" ",349
" ""523.txt"" ",363
" ""524.txt"" ",354
" ""525.txt"" ",352
" ""526.txt"" ",359
" ""527.txt"" ",353
" ""528.txt"" ",354
" ""529.txt"" ",359
" ""530.txt"" ",358
" ""531.txt"" ",216
" ""532.txt"" ",213
" ""533.txt"" ",218
" ""534.txt"" ",212
" ""535.txt"" ",211
" ""536.txt"" ",214
" ""537.txt"" ",217
" ""538.txt"" ",217
" ""539.txt"" ",215
" ""540.txt"" ",214
" ""541.txt"" ",152
" ""542.txt"" ",153
" ""543.txt"" ",154
" ""544.txt"" ",152
" ""545.txt"" ",154
" ""546.txt"" ",153
" ""547.txt"" ",156
" ""548.txt"" ",156
" ""549.txt"" ",151
" ""550.txt"" ",155
" ""551.txt"" ",120
" ""552.txt"" ",122
" ""553.txt"" ",120
" ""554.txt"" ",121
" ""555.txt"" ",120
" ""556.txt"" ",120
" ""557.txt"" ",121
" ""558.txt"" ",119
" ""559.txt"" ",119
" ""560.txt"" ",119
