Instance,best_cmax
" ""1011.txt"" ",983
" ""1012.txt"" ",911
" ""1013.txt"" ",985
" ""1014.txt"" ",963
" ""1015.txt"" ",971
" ""1016.txt"" ",980
" ""1017.txt"" ",947
" ""1018.txt"" ",995
" ""1019.txt"" ",942
" ""1020.txt"" ",993
" ""1021.txt"" ",260
" ""1022.txt"" ",271
" ""1023.txt"" ",256
" ""1024.txt"" ",269
" ""1025.txt"" ",280
" ""1026.txt"" ",272
" ""1027.txt"" ",284
" ""1028.txt"" ",277
" ""1029.txt"" ",269
" ""1030.txt"" ",265
" ""1031.txt"" ",132
" ""1032.txt"" ",140
" ""1033.txt"" ",126
" ""1034.txt"" ",130
" ""1035.txt"" ",132
" ""1036.txt"" ",129
" ""1037.txt"" ",132
" ""1038.txt"" ",130
" ""1039.txt"" ",132
" ""1040.txt"" ",131
" ""1041.txt"" ",77
" ""1042.txt"" ",75
" ""1043.txt"" ",79
" ""1044.txt"" ",77
" ""1045.txt"" ",79
" ""1046.txt"" ",77
" ""1047.txt"" ",78
" ""1048.txt"" ",78
" ""1049.txt"" ",78
" ""1050.txt"" ",76
" ""1051.txt"" ",53
" ""1052.txt"" ",51
" ""1053.txt"" ",52
" ""1054.txt"" ",53
" ""1055.txt"" ",53
" ""1056.txt"" ",52
" ""1057.txt"" ",52
" ""1058.txt"" ",54
" ""1059.txt"" ",56
" ""1060.txt"" ",53
" ""111.txt"" ",117
" ""112.txt"" ",87
" ""113.txt"" ",98
" ""114.txt"" ",116
" ""115.txt"" ",104
" ""116.txt"" ",102
" ""117.txt"" ",114
" ""118.txt"" ",104
" ""119.txt"" ",114
" ""120.txt"" ",102
" ""121.txt"" ",31
" ""122.txt"" ",38
" ""123.txt"" ",32
" ""124.txt"" ",33
" ""125.txt"" ",33
" ""126.txt"" ",30
" ""127.txt"" ",36
" ""128.txt"" ",31
" ""129.txt"" ",31
" ""130.txt"" ",30
" ""131.txt"" ",19
" ""132.txt"" ",23
" ""133.txt"" ",17
" ""134.txt"" ",18
" ""135.txt"" ",16
" ""136.txt"" ",24
" ""137.txt"" ",17
" ""138.txt"" ",19
" ""139.txt"" ",16
" ""140.txt"" ",17
" ""141.txt"" ",11
" ""142.txt"" ",13
" ""143.txt"" ",12
" ""144.txt"" ",10
" ""145.txt"" ",12
" ""146.txt"" ",12
" ""147.txt"" ",14
" ""148.txt"" ",13
" ""149.txt"" ",23
" ""150.txt"" ",14
" ""151.txt"" ",8
" ""152.txt"" ",13
" ""153.txt"" ",10
" ""154.txt"" ",11
" ""155.txt"" ",9
" ""156.txt"" ",10
" ""157.txt"" ",9
" ""158.txt"" ",11
" ""159.txt"" ",9
" ""160.txt"" ",9
" ""211.txt"" ",205
" ""212.txt"" ",206
" ""213.txt"" ",200
" ""214.txt"" ",197
" ""215.txt"" ",222
" ""216.txt"" ",185
" ""217.txt"" ",190
" ""218.txt"" ",199
" ""219.txt"" ",199
" ""220.txt"" ",209
" ""221.txt"" ",55
" ""222.txt"" ",60
" ""223.txt"" ",54
" ""224.txt"" ",62
" ""225.txt"" ",55
" ""226.txt"" ",61
" ""227.txt"" ",61
" ""228.txt"" ",57
" ""229.txt"" ",60
" ""230.txt"" ",58
" ""231.txt"" ",28
" ""232.txt"" ",29
" ""233.txt"" ",29
" ""234.txt"" ",27
" ""235.txt"" ",25
" ""236.txt"" ",32
" ""237.txt"" ",27
" ""238.txt"" ",29
" ""239.txt"" ",30
" ""240.txt"" ",31
" ""241.txt"" ",17
" ""242.txt"" ",18
" ""243.txt"" ",17
" ""244.txt"" ",17
" ""245.txt"" ",19
" ""246.txt"" ",18
" ""247.txt"" ",18
" ""248.txt"" ",18
" ""249.txt"" ",15
" ""250.txt"" ",20
" ""251.txt"" ",13
" ""252.txt"" ",16
" ""253.txt"" ",13
" ""254.txt"" ",13
" ""255.txt"" ",13
" ""256.txt"" ",12
" ""257.txt"" ",13
" ""258.txt"" ",14
" ""259.txt"" ",14
" ""260.txt"" ",14
" ""511.txt"" ",505
" ""512.txt"" ",487
" ""513.txt"" ",503
" ""514.txt"" ",474
" ""515.txt"" ",505
" ""516.txt"" ",500
" ""517.txt"" ",457
" ""518.txt"" ",473
" ""519.txt"" ",491
" ""520.txt"" ",487
" ""521.txt"" ",138
" ""522.txt"" ",133
" ""523.txt"" ",141
" ""524.txt"" ",140
" ""525.txt"" ",150
" ""526.txt"" ",136
" ""527.txt"" ",135
" ""528.txt"" ",139
" ""529.txt"" ",140
" ""530.txt"" ",126
" ""531.txt"" ",63
" ""532.txt"" ",70
" ""533.txt"" ",69
" ""534.txt"" ",68
" ""535.txt"" ",68
" ""536.txt"" ",66
" ""537.txt"" ",63
" ""538.txt"" ",67
" ""539.txt"" ",65
" ""540.txt"" ",69
" ""541.txt"" ",40
" ""542.txt"" ",40
" ""543.txt"" ",40
" ""544.txt"" ",41
" ""545.txt"" ",41
" ""546.txt"" ",39
" ""547.txt"" ",39
" ""548.txt"" ",40
" ""549.txt"" ",39
" ""550.txt"" ",38
" ""551.txt"" ",27
" ""552.txt"" ",28
" ""553.txt"" ",27
" ""554.txt"" ",28
" ""555.txt"" ",27
" ""556.txt"" ",28
" ""557.txt"" ",28
" ""558.txt"" ",27
" ""559.txt"" ",28
" ""560.txt"" ",29
