Instance,best_cmax 
" ""1011.txt"" ",5554
" ""1012.txt"" ",5359
" ""1013.txt"" ",5293
" ""1014.txt"" ",5480
" ""1015.txt"" ",5322
" ""1016.txt"" ",5413
" ""1017.txt"" ",5271
" ""1018.txt"" ",5403
" ""1019.txt"" ",5313
" ""1020.txt"" ",5215
" ""1021.txt"" ",2628
" ""1022.txt"" ",2600
" ""1023.txt"" ",2544
" ""1024.txt"" ",2643
" ""1025.txt"" ",2579
" ""1026.txt"" ",2628
" ""1027.txt"" ",2680
" ""1028.txt"" ",2599
" ""1029.txt"" ",2631
" ""1030.txt"" ",2555
" ""1031.txt"" ",1743
" ""1032.txt"" ",1754
" ""1033.txt"" ",1704
" ""1034.txt"" ",1745
" ""1035.txt"" ",1723
" ""1036.txt"" ",1717
" ""1037.txt"" ",1709
" ""1038.txt"" ",1772
" ""1039.txt"" ",1727
" ""1040.txt"" ",1722
" ""1041.txt"" ",1336
" ""1042.txt"" ",1343
" ""1043.txt"" ",1268
" ""1044.txt"" ",1341
" ""1045.txt"" ",1275
" ""1046.txt"" ",1254
" ""1047.txt"" ",1322
" ""1048.txt"" ",1328
" ""1049.txt"" ",1321
" ""1050.txt"" ",1295
" ""1051.txt"" ",1028
" ""1052.txt"" ",1037
" ""1053.txt"" ",1037
" ""1054.txt"" ",1009
" ""1055.txt"" ",1024
" ""1056.txt"" ",1031
" ""1057.txt"" ",1070
" ""1058.txt"" ",1036
" ""1059.txt"" ",1055
" ""1060.txt"" ",1040
" ""111.txt"" ",512
" ""112.txt"" ",524
" ""113.txt"" ",560
" ""114.txt"" ",558
" ""115.txt"" ",567
" ""116.txt"" ",515
" ""117.txt"" ",513
" ""118.txt"" ",512
" ""119.txt"" ",536
" ""120.txt"" ",497
" ""121.txt"" ",262
" ""122.txt"" ",262
" ""123.txt"" ",276
" ""124.txt"" ",296
" ""125.txt"" ",289
" ""126.txt"" ",267
" ""127.txt"" ",277
" ""128.txt"" ",292
" ""129.txt"" ",276
" ""130.txt"" ",237
" ""131.txt"" ",180
" ""132.txt"" ",175
" ""133.txt"" ",186
" ""134.txt"" ",176
" ""135.txt"" ",173
" ""136.txt"" ",167
" ""137.txt"" ",176
" ""138.txt"" ",175
" ""139.txt"" ",188
" ""140.txt"" ",185
" ""141.txt"" ",148
" ""142.txt"" ",136
" ""143.txt"" ",154
" ""144.txt"" ",145
" ""145.txt"" ",144
" ""146.txt"" ",147
" ""147.txt"" ",127
" ""148.txt"" ",141
" ""149.txt"" ",131
" ""150.txt"" ",138
" ""151.txt"" ",104
" ""152.txt"" ",119
" ""153.txt"" ",119
" ""154.txt"" ",119
" ""155.txt"" ",107
" ""156.txt"" ",123
" ""157.txt"" ",132
" ""158.txt"" ",118
" ""159.txt"" ",110
" ""160.txt"" ",105
" ""211.txt"" ",1130
" ""212.txt"" ",1073
" ""213.txt"" ",1105
" ""214.txt"" ",1109
" ""215.txt"" ",1023
" ""216.txt"" ",1079
" ""217.txt"" ",979
" ""218.txt"" ",1115
" ""219.txt"" ",1046
" ""220.txt"" ",1095
" ""221.txt"" ",519
" ""222.txt"" ",523
" ""223.txt"" ",564
" ""224.txt"" ",575
" ""225.txt"" ",565
" ""226.txt"" ",541
" ""227.txt"" ",514
" ""228.txt"" ",532
" ""229.txt"" ",509
" ""230.txt"" ",530
" ""231.txt"" ",358
" ""232.txt"" ",360
" ""233.txt"" ",342
" ""234.txt"" ",360
" ""235.txt"" ",324
" ""236.txt"" ",351
" ""237.txt"" ",363
" ""238.txt"" ",363
" ""239.txt"" ",352
" ""240.txt"" ",347
" ""241.txt"" ",255
" ""242.txt"" ",267
" ""243.txt"" ",263
" ""244.txt"" ",271
" ""245.txt"" ",269
" ""246.txt"" ",268
" ""247.txt"" ",273
" ""248.txt"" ",250
" ""249.txt"" ",264
" ""250.txt"" ",244
" ""251.txt"" ",228
" ""252.txt"" ",216
" ""253.txt"" ",222
" ""254.txt"" ",217
" ""255.txt"" ",205
" ""256.txt"" ",197
" ""257.txt"" ",228
" ""258.txt"" ",211
" ""259.txt"" ",207
" ""260.txt"" ",228
" ""511.txt"" ",2638
" ""512.txt"" ",2675
" ""513.txt"" ",2708
" ""514.txt"" ",2782
" ""515.txt"" ",2630
" ""516.txt"" ",2644
" ""517.txt"" ",2552
" ""518.txt"" ",2661
" ""519.txt"" ",2743
" ""520.txt"" ",2661
" ""521.txt"" ",1287
" ""522.txt"" ",1308
" ""523.txt"" ",1337
" ""524.txt"" ",1367
" ""525.txt"" ",1341
" ""526.txt"" ",1294
" ""527.txt"" ",1349
" ""528.txt"" ",1302
" ""529.txt"" ",1289
" ""530.txt"" ",1294
" ""531.txt"" ",896
" ""532.txt"" ",844
" ""533.txt"" ",874
" ""534.txt"" ",866
" ""535.txt"" ",901
" ""536.txt"" ",890
" ""537.txt"" ",852
" ""538.txt"" ",847
" ""539.txt"" ",872
" ""540.txt"" ",876
" ""541.txt"" ",664
" ""542.txt"" ",663
" ""543.txt"" ",646
" ""544.txt"" ",656
" ""545.txt"" ",685
" ""546.txt"" ",655
" ""547.txt"" ",674
" ""548.txt"" ",646
" ""549.txt"" ",632
" ""550.txt"" ",629
" ""551.txt"" ",512
" ""552.txt"" ",534
" ""553.txt"" ",531
" ""554.txt"" ",524
" ""555.txt"" ",541
" ""556.txt"" ",535
" ""557.txt"" ",518
" ""558.txt"" ",538
" ""559.txt"" ",536
" ""560.txt"" ",527
